,Date,User,Comment
0,9:48am,Evestar200,
1,,, my brother lives in that spintex area close to King Solomon height.
2,11:13am On Feb 02,bosco9,
3,,,"No way to book online ticket because of border closureLet him go to spintex, there is a Nigerian park there that can bring him to nigeriaIf you are interested, let me know so I can give you his number"
4,8:02am On Feb 02,Evestar200,
5,,,"Hello Nairalanders, please I need help on how to see a transport from Accra Ghana to nigeria.My brother is stranded in Accra in Ghana and I want to book an online ticket for him to get back to nigeria but I can't due to border closure in Ghana.Please someone should help me because I don't want to send him the money due to people around him."
6,9:23pm On Jan 26,backbencher,
7,,,"Goes without saying. We don't produce enough rice here...which is why we can't have rice at N6000 now. That, and our not too strong currency,We have a poor mechanization level in our agriculture, and we don't have the large wetland of Thailand and Brazil.border closure was just propaganda. The reality is, until we have more mechanized and scientific farming, we won't get to be a big rice producer."
8,9:22pm On Jan 26,naijaboy756,
9,,,you dey mind am?
10,9:17pm On Jan 26,Etuagievin,
11,,,"                                               But the price of rice at the market in no way suggests we have enough rice in nigeria.  Ordinarily, when you have enough, prices  goes down .   If  the price remains same before this administration hand over the  Batton , then it means the rice project, border closure  thing is highly unnecessary and hoax"
12,2:30pm On Jan 26,kuntash,
13,,,"Your analysis is quite deep , only few can truly discern that you weren't tribalistic in your views rather stating the obvious that's bedeviled this nation for it's development ....I observed some of your opinions are captured and condemned , raging with tribal perceptions ...Fact remains , until we start telling everyone the truth , until the country starts considering equality , fairness and justice in every region or state ..... This quagmire would definitely continue ...I am sure many that condemned your opinion here are not better than you , but rather the urge to always wear the tribal and religious hat each time we discuss on Nairaland ....Kudos to you especially on your last paragraph .....Nice one !"
14,2:28pm On Jan 26,Bishop4real,
15,,,And who amongst the brainwashed IPONKS would have agreed to release land in any part of SE/SS for the project without shouting Islamization up & down? Their loss; Lagos gain! Ndi apari
16,1:40pm On Jan 26,Toni19,
17,,,Lagos is better because no militant. 
18,1:07pm On Jan 26,MoIbrahim,
19,,,The man wants the place that is safest. You can see he didn't even come to the North 
20,12:43pm On Jan 26,drealcivilceno,
21,,,"My brother don't talk again, please if you can leave this country.... LEAVE!Abeg for your Sanity, and don't go to places where there are no rules like DUBAI, Nigerians don bastardize the small one dey have!"
22,9:44pm On Jan 25,JavaScript90,
23,,,Great. But this project should be sited at a major oil producing state like Imo state with the likes of shell anoh gas project not at Lagos. He should source for his oil from the 30 liters of oil Lagos produce. SMH for nigeria.****modified**** for those quoting me and talking about security and dangote buying oil from elsewhere. There is insecurity in oil producing states but somehow bonny terminal has been used to export nigeria crude oil for many years without issues. Remind me again whose job it is to provide security again? All these insecurity shit is political because it serves the interest of some power blocks. We all know the kind of business model dangote operates. He cant do without the heavily subsidized nigerian oil from nepostic government monopoly. Please you guys should remind me again where kaduna refinery is getting her crude from again? didnt nigeria government pipe oil from here to kaduna? Hypocritical NIGERIANS!everybody dey here when erisco foods was begging cbn to release his dollar so that he can  buy essential raw materials but the government refused but was selling forex at a very cheap rate to dangote while other companies was just begging to have access to their own personal money. What about during the border closure and lockdown? dangote was given waiver to continue plying his trade while other industrialists cried. IT IS ALL POLITICS AND POWERFUL INTERESTSshout out to all legit businessmen and women that have made names for themselves through hardwork and shear business acumen without corrupt and tribalistic government suppressing their competitions
24,3:36pm On Jan 23,gentlebullet,
25,,,"What make you think 500k is a lot of money enough to relocate to Cotonou or Accra? The Naira has lost its value so much. 1. The cost of transportation from Lagos to either of the two cities has triple cos of border closure due to covid out break.2. Accommodation in both cities have increased in recent times due to the economic impact of covid.3. Before you can rent an apartment in both cities, you will have to acquire a RP, this wasn't the case few years back but cos the present Nigerian govt have failed in its diplomatic duties for its citizens residents in those countries, the hosts are now more hostile and strict about undocumented Nigerians in their country.  Moreover, applying for a RP will eat into your already little budget. 4. Both cities have constant electricity supply but very expensive.5. Cost of living particularly in Accra is far more than that of Lagos so be prepared. My advice: if you must relocate, up your budget to at least 1.5million to avoid getting stranded or been arrested for illegal stay in especially Accra."
26,12:55pm On Jan 18,Playermayweda,
27,,,"Oya, go tell that one to forbes and Google and Wikipedia, make dem comot the 14bn wey dey him networth"
28,12:49pm On Jan 18,Benitoh,
29,,,"Dangote is never and will never be the richest black man in Africa. He was fraudulently propagated by the ethnically biased FG of nigeria that killed ibeto cement, just to help dangote to the top.Dangote doesn't  follow the laid down procedures that are mandated for others to obey. He does not obey border closure and even treated with kid gloves. How am i even sure if he pay taxes.... That the FG use taxes to kill other competitive companies is another topic for another day entirely on it own.As long as am concerned this country remains a joke of a country that does not want to promote equity, equality, fairness and transparency based on ethnic variance.It's been programmed for total dominance by the fulanis and their willing and obedient slaves."
30,3:56pm On Jan 07,chrisooblog,
31,,,"Alhaji Rabiu is really giving Dangote a run for his money literally and figuratively. He recently signed a deal with the French govt to build a refinery in Akwa Ibom I think.What you said about the politics being behind most of the bad press Dangote gets is true. Funny enough most of his detractors had no issues with him when OBJ and GEJ where in charge. I not an expert about the goings on in the cement industry but someone who helped stop your country being an import dependent one when it comes to cement deserves commendation. At least companies like Lafarge have been on ground before Dangote ventured into cement business why didn't they think of expanding instead of largely relying on imports?Don't be surprised when his refinery is up and running and he's enjoying the profits of his investment they will accuse him of monopoly even though a lot of them were given licenses to refine crude years ago.Buhari has many faults but one good I've seen is if you're a large scale Nigerian business trying to expand they give you the necessary backing whether through monetary policy, government policy like border closure and encouraging local substitute for imported raw materials."
32,2:56am On Jan 06,fkj950ax,
33,,,"Taxes have never made an economy grow in any part of the world.Production does. That's where nigeria's government has missed it all these years You can't tax your way into prosperity or economic growth And imposing tax on your citizens because you have imbalance of trade is not going to improve your export, IGR, FDI or GDP If you produce, they won't be able to export to your economy.  Buhari border closure achieved what exactly? That's him trying to stop importation (rice).No country is interested in getting you benefits if all you do is import from them or giving you something in return as you point out above.It's not critical thinking that is required. It's economics. That's why the economy hasn't grown in 20 years, because people that think like you are those making the lousy decisions all these years. The results are evident.Public infrastructure can not be funded from taxes too. All those things you listed above there are just white elephants you know can't be achieved."
34,9:35pm On Jan 05,saliubello,
35,,,"If you can own and  run a farm and make profits consistently for 3years in nigeria, most especially in the last 3years specifically, you can be successful anywhere in the world.The battles are real - insecurity, inflation, banditry, border closure, higher tariffs, electricity rate, cost of diesel etc"
36,11:46am On Jan 04,AllahIsSatan,
37,,,"The World Bank has said nigeria may have one of the highest inflation rates globally in 2022, with increasing prices diminishing the welfare of Nigerian households.According to the World Bank, nigeria is projected to have one of the highest inflation rates globally and the seventh highest among Sub-Saharan African countries in 2022“In 2022, nigeria is expected to have one of the highest inflation rates in the world and the seventh highest in Sub-Saharan Africa,” it said.The bank said this in the November edition of its nigeria Development Update.According to the global financial institution, high inflation hampers the country’s attempt to achieve economic recovery and erodes the purchasing power of most vulnerable households.The document read in part, “High inflation is frustrating nigeria’s economic recovery and eroding the purchasing power of the most vulnerable households. In the absence of measures to contain inflation, rising prices will continue to diminish the welfare of Nigerian households.”The bank further highlighted the adverse effects of inflation on nigeria, which include pushing eight million Nigerians into poverty, and the possible disruption of consumption, investment and saving decisions, among other consequences.“If inflation had been closer to the CBN’s goal of nine per cent in 2021, the average nigeria’s consumption would have been 15 per cent higher, and eight million Nigerians would have not fallen into poverty.“If double-digit inflation persists during 2022-2023, rising prices will distort consumption, investment, and saving decisions of the government, households, and firms, with adverse ramifications for long-term borrowing and lending.“Over time, the disproportionate impact of inflation on lower-income households and those working in sectors with low savings (e.g, agriculture) will exacerbate inequality. Ultimately, inflation will not only negatively affect incomes, but also economic productivity and job creation, further constraining the recovery,” the bank said.The Washington, United States-based institution also disclosed that over two years, an increase in food prices accounted for about 70 per cent of the annual increase in the rate of inflation.It also said that inflationary pressures were trigged by multiple demand and supply shocks.The document read in part, “Inflationary pressures are being generated by multiple demand and supply shocks. Supply shocks arising from disruption of supply chains linked to COVID-19 and associated containment measures have eased, but security issues, border closures, and limited access to markets continue to fuel inflation.“The current mix of monetary, fiscal, foreign exchange, and trade policies also plays a prominent role as a driver of inflation. Trade and FX restrictions, including the closure of land borders starting in August 2019, have increased prices for food and consumer goods, and imports of over 40 goods, including many staple foods, are currently ineligible for FX through formal windows.“nigeria’s exchange-rate management has resulted in the rise of parallel rates, which are closely linked to food-price dynamics. Unable to access FX through the official exchange-rate window, businesses seek FX on the parallel market and other alternative sources.“The parallel rate influences their business decisions, and fluctuations in the parallel rate pass through to market prices for goods and services. Moreover, monetary policy has not prioritized controlling inflation, and the monetary financing of fiscal deficit undermines the effectiveness of policies to contain demand-side inflationary pressures.”https://punchng.com/nigerias-inflation-rate-may-be-among-worlds-highest-in-2022-world-bank/"
38,8:28pm On Jan 03,Ahmback,
39,,,Source: [url] https://www.msn.com/en-xl/africa/nigeria/nigeria-s-inflation-rate-may-be-among-world-s-highest-in-2022-w-bank/ar-AASmNgh?li=BB12ImrE [/url]
40,4:01pm On Jan 03,abouzaid,
41,,,https://punchng.com/nigerias-inflation-rate-may-be-among-worlds-highest-in-2022-world-bank/?amp
42,2:17pm On Jan 03,HenryThegreat1,
43,,,"The World Bank has said nigeria may have one of the highest inflation rates globally in 2022, with increasing prices diminishing the welfare of Nigerian households.According to the World Bank, nigeria is projected to have one of the highest inflation rates globally and the seventh highest among Sub-Saharan African countries in 2022“In 2022, nigeria is expected to have one of the highest inflation rates in the world and the seventh highest in Sub-Saharan Africa,” it said.The bank said this in the November edition of its nigeria Development Update.According to the global financial institution, high inflation hampers the country’s attempt to achieve economic recovery and erodes the purchasing power of most vulnerable households.The document read in part, “High inflation is frustrating nigeria’s economic recovery and eroding the purchasing power of the most vulnerable households. In the absence of measures to contain inflation, rising prices will continue to diminish the welfare of Nigerian households.”The bank further highlighted the adverse effects of inflation on nigeria, which include pushing eight million Nigerians into poverty, and the possible disruption of consumption, investment and saving decisions, among other consequences.“If inflation had been closer to the CBN’s goal of nine per cent in 2021, the average nigeria’s consumption would have been 15 per cent higher, and eight million Nigerians would have not fallen into poverty.“If double-digit inflation persists during 2022-2023, rising prices will distort consumption, investment, and saving decisions of the government, households, and firms, with adverse ramifications for long-term borrowing and lending.“Over time, the disproportionate impact of inflation on lower-income households and those working in sectors with low savings (e.g, agriculture) will exacerbate inequality. Ultimately, inflation will not only negatively affect incomes, but also economic productivity and job creation, further constraining the recovery,” the bank said.The Washington, United States-based institution also disclosed that over two years, an increase in food prices accounted for about 70 per cent of the annual increase in the rate of inflation.It also said that inflationary pressures were trigged by multiple demand and supply shocks.The document read in part, “Inflationary pressures are being generated by multiple demand and supply shocks. Supply shocks arising from disruption of supply chains linked to COVID-19 and associated containment measures have eased, but security issues, border closures, and limited access to markets continue to fuel inflation.“The current mix of monetary, fiscal, foreign exchange, and trade policies also plays a prominent role as a driver of inflation. Trade and FX restrictions, including the closure of land borders starting in August 2019, have increased prices for food and consumer goods, and imports of over 40 goods, including many staple foods, are currently ineligible for FX through formal windows.“nigeria’s exchange-rate management has resulted in the rise of parallel rates, which are closely linked to food-price dynamics. Unable to access FX through the official exchange-rate window, businesses seek FX on the parallel market and other alternative sources.“The parallel rate influences their business decisions, and fluctuations in the parallel rate pass through to market prices for goods and services. Moreover, monetary policy has not prioritized controlling inflation, and the monetary financing of fiscal deficit undermines the effectiveness of policies to contain demand-side inflationary pressures.”https://punchng.com/nigerias-inflation-rate-may-be-among-worlds-highest-in-2022-world-bank/"
44,"11:58am On Dec 30, 2021 ",GreyLaw,
