,date,username,tweet,hashtags,nlikes
0,2022-02-02 00:33:59,IfaladeO,"@Deoolu @markessien @Samuelikueze @_SirWilliam_ @Kdenkss @Ambrosia_Ijebu Y'all evoke Trump without thinking of the structure he operated in. America could do that and make it a win-win, Nigeria does it and we would be gasping for breath. How about starting off with fixing your power needs before you start banning the importation of generators?",[],0
1,2022-02-01 22:20:45,autoshalomusa,"@iaboyeji My Able Oga , this is Nigeria 🇳🇬 . Where Nigerians think Twitter is Silicon Valley . All the noise on twitter does not reach the real streets. Manufacturing is dying slowly , importation of everything is making our engineers lazy . Our developers all wants to work for US/UK firms",[],2
2,2022-02-01 17:46:54,NASENIHQ,The Center when established is expected to help Nigeria conserve foreign exchange spending resulting from her dependence on importation and to cut down capital flights while creating employment opportunities thus raising standard of living of the general population.,[],1
3,2022-02-01 10:47:21,olusegunyemi,@Alpha_Yom Ordinary people that want to stop Rice growing in Nigeria to give way to Rice importation can conveniently drop cool billions of Naira to disturb the nation. God help us.,[],3
4,2022-02-01 05:19:25,IsidiIke,@AfricaNational1 @USMOVIC just wait for @OfficialPDPNig or trader @PeterObi comes to power..they will simply dismantle all these things and go back to importation...Import baby import...It is all about trading and turning Nigeria into a dumping yard,[],0
5,2022-02-01 02:55:06,thecableindex,Capital importation into Nigeria in the last eight years   2014: $20.75bn  2015: $9.64bn  2016: $5.12bn  2017: $12.22bn  2018: $16.81bn  2019: $23.90bn  2020: $9.68bn  2021: $4.51bn (Q1-Q3)  &lt;NBS&gt; #TheCableIndex  https://t.co/07vT9fSNXh,['thecableindex'],18
6,2022-02-01 01:05:49,tajudine2013,"Border closure: Nigeria loses over 300,000 jobs, 3,000 businesses shut down.  – ANLCA  Likewise! We have created over 1.3 million jobs from rice farmers. We also conserve our foreign exchange for importation. 😂😂😂😂",[],8
7,2022-02-01 00:33:38,surfyarn007,I believe government can resolve this issue of importation of refined petroleum products and payment of subsidy by forcing the major multinational oil companies to build and run refineries of certain capacity as part of the condition for them to continue operating in Nigeria.,[],2
8,2022-01-31 21:51:04,Paulnikc,"@ruffydfire Hmmmm...,how many industries have we in Nigeria,a country where importation rate is more than exportation,what do you expect sir, let's industrialized,get involved in world class production,export more and import less,then Nigeria will be well again.",[],2
9,2022-01-31 20:38:10,JinaduMoshood,"@Bella25300260 People r not coming to Lagos because of importation business alone. They come for d best opportunities in Nigeria. PDP tried to take over but Jagaban stood firm, if not, PDP would av destroyed our Lagos. Tinubu developed Lagos massively ..that's why people like u av place to live",[],1
10,2022-01-31 10:06:18,iykeharris,"@Andyh2471 @StatiSense @Isma69 If Angola has begun importation, it must be a recent development and another failure to maintain local refinery just as Nigeria.",[],0
11,2022-01-31 09:19:33,woye1,Can we look at the importation of clothing items into Nigeria with a view to increase the tariff or ban. We need to accommodate CBN 100 for 100 Policy Production &amp; productivity and also Aba textile. Let us grow our fashion industry to significantly contribute to our GDP.,[],258
12,2022-01-31 06:34:30,GhanaSocialU,A Ghanaian leading rice sufficiency in Nigeria and helping them to reducing importation by 1 billion dollars! Watch GBC News now and learn !  https://t.co/cHZYhM7FDW,[],28
13,2022-01-31 03:58:10,theafricadream,The Dangote Petroleum Refinery to save Nigeria US$43 Billion on annual refined petroleum importation  Read more here 👇👇  https://t.co/wqushjyRvs   #Africa #dangote,"['africa', 'dangote']",0
